environment,agent,family,config_id,hyperparams,status,selection_score,avg_reward,std_reward,min_reward,max_reward,median_reward,avg_length,avg_step_time_ms,win_rate,loss_rate,draw_rate,num_episodes,episodes_trained,training_time_seconds,seed,error,rank
TicTacToe,REINFORCE+Critic,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,0.6398971760009131,0.5,0.7416198487095663,,,,4.15,0.20517587661743164,0.65,0.15,0.2,20,100,0.14758038520812988,43,,5
TicTacToe,Random,baseline,1,{},OK,0.5843025460205061,0.45,0.8046738469715542,,,,4.35,0.16266584396362305,0.65,0.2,0.15,20,100,0.055727243423461914,43,,6
TicTacToe,DDQN+ER,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.4039239553016184,0.3,0.8426149773176359,,,,4.45,0.1617121696472168,0.55,0.25,0.2,20,100,1.0169663429260254,43,,7
TicTacToe,DDQN+PER,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.39703478267918374,0.3,0.7810249675906655,,,,4.55,0.16762018203735352,0.5,0.2,0.3,20,100,0.9842112064361572,43,,8
TicTacToe,DQN,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.34156004805607465,0.25,0.82915619758885,,,,4.4,0.1599651575088501,0.5,0.25,0.25,20,100,0.9498300552368164,43,,9
TicTacToe,RandomRollout,planning,1,"{""max_rollout_depth"": 25, ""search_budget"": 10}",OK,0.29030108137435473,0.2,0.9273618495495705,,,,3.75,17.639819582303364,0.55,0.35,0.1,20,100,8.67203426361084,43,,10
TicTacToe,DoubleDQN,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.23076099971504888,0.15,0.9096702699330126,,,,4.45,0.1529196898142497,0.5,0.35,0.15,20,100,0.40465688705444336,43,,11
TicTacToe,REINFORCE+Mean,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,0.1615518257068491,0.1,0.8306623862918076,,,,4.35,0.15205860137939453,0.4,0.3,0.3,20,100,0.1688833236694336,43,,12
Quarto,RandomRollout,planning,1,"{""max_rollout_depth"": 25, ""search_budget"": 10}",OK,1.2419512839135851,1.0,0.0,,,,5.4,3128.774031173615,1.0,0.0,0.0,20,100,1912.4001021385193,43,,1
Quarto,MCTS,planning,1,"{""exploration_constant"": 1.0, ""max_rollout_depth"": 25, ""search_budget"": 10}",OK,1.1228172219819816,0.9,0.4358898943540673,,,,6.1,204.17824198802313,0.95,0.05,0.0,20,100,148.4259650707245,43,,2
